pattern,model,start_op,end_op,op_sequence,input_shape,output_shape,suggested_slice,notes,source_path,slice_path,slice_status,error
consumer_tail,mobilenet_v3_b4_float.tflite,122,123,CONV_2D -> RESHAPE,"[4,1,1,1280]","[4,1001]",mobilenet_v3_b4_float_L122_L123_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilenet_v3_b4_float.tflite,model/MB_Path_Slice/consumer_tail/mobilenet_v3_b4_float_L122_L123_consumer_tail.tflite,ok,
consumer_tail,mobilenet_v3_b4_quant.tflite,17,18,CONV_2D -> MUL,"[4,1,1,24]","[4,1,1,72]",mobilenet_v3_b4_quant_L17_L18_consumer_tail.tflite,compute producer to binary EWE consumer tail,model/ETHZ_v6/mobilenet_v3_b4_quant.tflite,model/MB_Path_Slice/consumer_tail/mobilenet_v3_b4_quant_L17_L18_consumer_tail.tflite,ok,
consumer_tail,mobilenet_v3_float.tflite,122,123,CONV_2D -> RESHAPE,"[1,1,1,1280]","[1,1001]",mobilenet_v3_float_L122_L123_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilenet_v3_float.tflite,model/MB_Path_Slice/consumer_tail/mobilenet_v3_float_L122_L123_consumer_tail.tflite,ok,
consumer_tail,mobilenet_v3_quant.tflite,17,18,CONV_2D -> MUL,"[1,1,1,24]","[1,1,1,72]",mobilenet_v3_quant_L17_L18_consumer_tail.tflite,compute producer to binary EWE consumer tail,model/ETHZ_v6/mobilenet_v3_quant.tflite,model/MB_Path_Slice/consumer_tail/mobilenet_v3_quant_L17_L18_consumer_tail.tflite,ok,
consumer_tail,mobilevit_v2_float.tflite,37,38,CONV_2D -> PAD,"[1,48,48,384]","[1,50,50,384]",mobilevit_v2_float_L37_L38_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilevit_v2_float.tflite,model/MB_Path_Slice/consumer_tail/mobilevit_v2_float_L37_L38_consumer_tail.tflite,ok,
consumer_tail,mobilevit_v2_float.tflite,42,43,CONV_2D -> RESHAPE,"[1,48,48,384]","[48,24,2,192]",mobilevit_v2_float_L42_L43_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilevit_v2_float.tflite,model/MB_Path_Slice/consumer_tail/mobilevit_v2_float_L42_L43_consumer_tail.tflite,ok,
consumer_tail,mobilevit_v2_float.tflite,59,60,CONV_2D -> SPLIT_V,"[1,4,576,192]","[1,4,576,1]",mobilevit_v2_float_L59_L60_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mobilevit_v2_float.tflite,model/MB_Path_Slice/consumer_tail/mobilevit_v2_float_L59_L60_consumer_tail.tflite,ok,
consumer_tail,mv3_depth_float.tflite,8,9,CONV_2D -> PAD,"[1,192,288,16]","[1,193,289,64]",mv3_depth_float_L8_L9_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/mv3_depth_float.tflite,model/MB_Path_Slice/consumer_tail/mv3_depth_float_L8_L9_consumer_tail.tflite,ok,
consumer_tail,sam_float.tflite,766,767,FULLY_CONNECTED -> PACK,"[1,256]","[1,4,32]",sam_float_L766_L767_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sam_float.tflite,model/MB_Path_Slice/consumer_tail/sam_float_L766_L767_consumer_tail.tflite,ok,
consumer_tail,sam_float.tflite,41,42,FULLY_CONNECTED -> RESHAPE,"[100,7,7,128]","[100,49,4,96]",sam_float_L41_L42_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sam_float.tflite,model/MB_Path_Slice/consumer_tail/sam_float_L41_L42_consumer_tail.tflite,ok,
consumer_tail,sam_quant.tflite,27,28,CONV_2D -> PAD,"[1,64,64,128]","[1,70,70,128]",sam_quant_L27_L28_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sam_quant.tflite,model/MB_Path_Slice/consumer_tail/sam_quant_L27_L28_consumer_tail.tflite,ok,
consumer_tail,sd_decoder_quant.tflite,1,2,CONV_2D -> PAD,"[1,32,32,4]","[1,34,34,4]",sd_decoder_quant_L1_L2_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_decoder_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_decoder_quant_L1_L2_consumer_tail.tflite,ok,
consumer_tail,sd_decoder_quant.tflite,3,4,CONV_2D -> RESHAPE,"[1,34,34,4]","[1,1024,32,8]",sd_decoder_quant_L3_L4_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_decoder_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_decoder_quant_L3_L4_consumer_tail.tflite,ok,
consumer_tail,sd_diffusion_quant.tflite,835,836,CONV_2D -> CONCATENATION,"[1,10,10,256]","[1,8,8,512]",sd_diffusion_quant_L835_L836_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_diffusion_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_diffusion_quant_L835_L836_consumer_tail.tflite,ok,
consumer_tail,sd_diffusion_quant.tflite,17,18,CONV_2D -> RESHAPE,"[1,34,34,64]","[1,1024,32,2]",sd_diffusion_quant_L17_L18_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_diffusion_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_diffusion_quant_L17_L18_consumer_tail.tflite,ok,
consumer_tail,sd_diffusion_quant.tflite,57,58,FULLY_CONNECTED -> RESHAPE,"[1,1024,64]","[1,1024,8,8]",sd_diffusion_quant_L57_L58_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_diffusion_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_diffusion_quant_L57_L58_consumer_tail.tflite,ok,
consumer_tail,sd_diffusion_quant.tflite,84,85,FULLY_CONNECTED -> SPLIT,"[1,1024,64]","[1,1024,256]",sd_diffusion_quant_L84_L85_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_diffusion_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_diffusion_quant_L84_L85_consumer_tail.tflite,ok,
consumer_tail,sd_encoder_quant.tflite,2,3,CONV_2D -> RESHAPE,"[1,258,258,3]","[1,65536,32,2]",sd_encoder_quant_L2_L3_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/sd_encoder_quant.tflite,model/MB_Path_Slice/consumer_tail/sd_encoder_quant_L2_L3_consumer_tail.tflite,ok,
consumer_tail,srgan_float.tflite,53,54,CONV_2D -> DEPTH_TO_SPACE,"[1,256,256,64]","[1,512,512,64]",srgan_float_L53_L54_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/srgan_float.tflite,model/MB_Path_Slice/consumer_tail/srgan_float_L53_L54_consumer_tail.tflite,ok,
consumer_tail,swin_float.tflite,22,23,FULLY_CONNECTED -> RESHAPE,"[1,3136,96]","[8,7,8,7,288]",swin_float_L22_L23_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/swin_float.tflite,model/MB_Path_Slice/consumer_tail/swin_float_L22_L23_consumer_tail.tflite,ok,
consumer_tail,swin_quant.tflite,1,2,CONV_2D -> RESHAPE,"[1,224,224,3]","[1,3136,96]",swin_quant_L1_L2_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/swin_quant.tflite,model/MB_Path_Slice/consumer_tail/swin_quant_L1_L2_consumer_tail.tflite,ok,
consumer_tail,unet_quant.tflite,2,3,CONV_2D -> MAX_POOL_2D,"[1,1024,1024,16]","[1,512,512,16]",unet_quant_L2_L3_consumer_tail.tflite,compute producer to POOL consumer tail,model/ETHZ_v6/unet_quant.tflite,model/MB_Path_Slice/consumer_tail/unet_quant_L2_L3_consumer_tail.tflite,ok,
consumer_tail,vit_b16_quant.tflite,1,2,CONV_2D -> RESHAPE,"[1,384,384,3]","[1,1,576,768]",vit_b16_quant_L1_L2_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/vit_b16_quant.tflite,model/MB_Path_Slice/consumer_tail/vit_b16_quant_L1_L2_consumer_tail.tflite,ok,
consumer_tail,vit_b16_quant.tflite,16,17,FULLY_CONNECTED -> RESHAPE,"[1,577,768]","[1,577,12,64]",vit_b16_quant_L16_L17_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/vit_b16_quant.tflite,model/MB_Path_Slice/consumer_tail/vit_b16_quant_L16_L17_consumer_tail.tflite,ok,
consumer_tail,vsr_float.tflite,8,9,CONV_2D -> DEPTH_TO_SPACE,"[1,540,960,16]","[1,2160,3840,3]",vsr_float_L8_L9_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/vsr_float.tflite,model/MB_Path_Slice/consumer_tail/vsr_float_L8_L9_consumer_tail.tflite,ok,
consumer_tail,xlsr_quant.tflite,5,6,CONV_2D -> CONCATENATION,"[1,360,640,3]","[1,360,640,32]",xlsr_quant_L5_L6_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/xlsr_quant.tflite,model/MB_Path_Slice/consumer_tail/xlsr_quant_L5_L6_consumer_tail.tflite,ok,
consumer_tail,xlsr_quant.tflite,40,41,CONV_2D -> DEPTH_TO_SPACE,"[1,360,640,32]","[1,1080,1920,3]",xlsr_quant_L40_L41_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/xlsr_quant.tflite,model/MB_Path_Slice/consumer_tail/xlsr_quant_L40_L41_consumer_tail.tflite,ok,
consumer_tail,xlsr_quant.tflite,7,8,CONV_2D -> STRIDED_SLICE,"[1,360,640,32]","[1,360,640,8]",xlsr_quant_L7_L8_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/xlsr_quant.tflite,model/MB_Path_Slice/consumer_tail/xlsr_quant_L7_L8_consumer_tail.tflite,ok,
consumer_tail,yolo_v8_float.tflite,170,171,CONV_2D -> CONCATENATION,"[1,80,80,64]","[1,80,80,144]",yolo_v8_float_L170_L171_consumer_tail.tflite,compute producer to layout/TNPS consumer tail,model/ETHZ_v6/yolo_v8_float.tflite,model/MB_Path_Slice/consumer_tail/yolo_v8_float_L170_L171_consumer_tail.tflite,ok,
layout_bridge,deeplab_v3_plus_float.tflite,64,65,AVERAGE_POOL_2D -> CONV_2D,"[1,8,8,320]","[1,1,1,256]",deeplab_v3_plus_float_L64_L65_layout_bridge.tflite,POOL producer to compute consumer candidate,model/ETHZ_v6/deeplab_v3_plus_float.tflite,model/MB_Path_Slice/layout_bridge/deeplab_v3_plus_float_L64_L65_layout_bridge.tflite,ok,
layout_bridge,deeplab_v3_plus_float.tflite,68,69,CONCATENATION -> CONV_2D,"[1,64,64,256]","[1,64,64,256]",deeplab_v3_plus_float_L68_L69_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/deeplab_v3_plus_float.tflite,model/MB_Path_Slice/layout_bridge/deeplab_v3_plus_float_L68_L69_layout_bridge.tflite,ok,
layout_bridge,deeplab_v3_plus_float.tflite,73,74,CONCATENATION -> DEPTHWISE_CONV_2D,"[1,256,256,256]","[1,256,256,304]",deeplab_v3_plus_float_L73_L74_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/deeplab_v3_plus_float.tflite,model/MB_Path_Slice/layout_bridge/deeplab_v3_plus_float_L73_L74_layout_bridge.tflite,ok,
layout_bridge,dped_float.tflite,1,2,SPACE_TO_DEPTH -> CONV_2D,"[1,1024,1536,3]","[1,512,768,64]",dped_float_L1_L2_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/dped_float.tflite,model/MB_Path_Slice/layout_bridge/dped_float_L1_L2_layout_bridge.tflite,ok,
layout_bridge,esrgan_quant.tflite,10,11,CONCATENATION -> CONV_2D,"[1,128,128,32]","[1,128,128,32]",esrgan_quant_L10_L11_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/esrgan_quant.tflite,model/MB_Path_Slice/layout_bridge/esrgan_quant_L10_L11_layout_bridge.tflite,ok,
layout_bridge,gpt2_quant.tflite,14,15,RESHAPE -> FULLY_CONNECTED,"[1,77,768,1]","[1,77,2304]",gpt2_quant_L14_L15_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/gpt2_quant.tflite,model/MB_Path_Slice/layout_bridge/gpt2_quant_L14_L15_layout_bridge.tflite,ok,
layout_bridge,imdn_float.tflite,13,14,CONCATENATION -> CONV_2D,"[1,512,512,8]","[1,512,512,32]",imdn_float_L13_L14_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/imdn_float.tflite,model/MB_Path_Slice/layout_bridge/imdn_float_L13_L14_layout_bridge.tflite,ok,
layout_bridge,imdn_float.tflite,1,2,SPACE_TO_DEPTH -> CONV_2D,"[1,1024,1024,3]","[1,512,512,32]",imdn_float_L1_L2_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/imdn_float.tflite,model/MB_Path_Slice/layout_bridge/imdn_float_L1_L2_layout_bridge.tflite,ok,
layout_bridge,imdn_float.tflite,5,6,STRIDED_SLICE -> CONV_2D,"[1,512,512,32]","[1,512,512,32]",imdn_float_L5_L6_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/imdn_float.tflite,model/MB_Path_Slice/layout_bridge/imdn_float_L5_L6_layout_bridge.tflite,ok,
layout_bridge,inception_v3_quant.tflite,14,15,AVERAGE_POOL_2D -> CONV_2D,"[1,40,40,192]","[1,40,40,32]",inception_v3_quant_L14_L15_layout_bridge.tflite,POOL producer to compute consumer candidate,model/ETHZ_v6/inception_v3_quant.tflite,model/MB_Path_Slice/layout_bridge/inception_v3_quant_L14_L15_layout_bridge.tflite,ok,
layout_bridge,inception_v3_quant.tflite,16,17,CONCATENATION -> CONV_2D,"[1,40,40,64]","[1,40,40,64]",inception_v3_quant_L16_L17_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/inception_v3_quant.tflite,model/MB_Path_Slice/layout_bridge/inception_v3_quant_L16_L17_layout_bridge.tflite,ok,
layout_bridge,inception_v3_quant.tflite,4,5,MAX_POOL_2D -> CONV_2D,"[1,170,170,64]","[1,84,84,80]",inception_v3_quant_L4_L5_layout_bridge.tflite,POOL producer to compute consumer candidate,model/ETHZ_v6/inception_v3_quant.tflite,model/MB_Path_Slice/layout_bridge/inception_v3_quant_L4_L5_layout_bridge.tflite,ok,
layout_bridge,llama2_quant.tflite,41,42,RESHAPE -> FULLY_CONNECTED,"[1,100,8,64]","[100,512]",llama2_quant_L41_L42_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/llama2_quant.tflite,model/MB_Path_Slice/layout_bridge/llama2_quant_L41_L42_layout_bridge.tflite,ok,
layout_bridge,microisp_quant.tflite,16,17,RESHAPE -> CONV_2D,"[1,4]","[1,1,1,4]",microisp_quant_L16_L17_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/microisp_quant.tflite,model/MB_Path_Slice/layout_bridge/microisp_quant_L16_L17_layout_bridge.tflite,ok,
layout_bridge,midas_v3_float.tflite,143,144,RESHAPE -> FULLY_CONNECTED,"[1,7,7,384]","[1,49,384]",midas_v3_float_L143_L144_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/midas_v3_float.tflite,model/MB_Path_Slice/layout_bridge/midas_v3_float_L143_L144_layout_bridge.tflite,ok,
layout_bridge,midas_v3_float.tflite,76,77,TRANSPOSE -> CONV_2D,"[1,384,14,14]","[1,14,14,256]",midas_v3_float_L76_L77_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/midas_v3_float.tflite,model/MB_Path_Slice/layout_bridge/midas_v3_float_L76_L77_layout_bridge.tflite,ok,
layout_bridge,midas_v3_float.tflite,19,20,TRANSPOSE -> FULLY_CONNECTED,"[1,384,196]","[1,196,768]",midas_v3_float_L19_L20_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/midas_v3_float.tflite,model/MB_Path_Slice/layout_bridge/midas_v3_float_L19_L20_layout_bridge.tflite,ok,
layout_bridge,midas_v3_quant.tflite,1,2,PAD -> CONV_2D,"[1,224,224,3]","[1,112,112,48]",midas_v3_quant_L1_L2_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/midas_v3_quant.tflite,model/MB_Path_Slice/layout_bridge/midas_v3_quant_L1_L2_layout_bridge.tflite,ok,
layout_bridge,mobilebert_quant.tflite,7,8,CONCATENATION -> FULLY_CONNECTED,"[1,384,128]","[1,384,512]",mobilebert_quant_L7_L8_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mobilebert_quant.tflite,model/MB_Path_Slice/layout_bridge/mobilebert_quant_L7_L8_layout_bridge.tflite,ok,
layout_bridge,mobilebert_quant.tflite,39,40,TRANSPOSE -> FULLY_CONNECTED,"[32,384]","[384,384]",mobilebert_quant_L39_L40_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mobilebert_quant.tflite,model/MB_Path_Slice/layout_bridge/mobilebert_quant_L39_L40_layout_bridge.tflite,ok,
layout_bridge,mobilenet_v3_b4_float.tflite,118,119,AVERAGE_POOL_2D -> CONV_2D,"[4,16,16,960]","[4,1,1,1280]",mobilenet_v3_b4_float_L118_L119_layout_bridge.tflite,POOL producer to compute consumer candidate,model/ETHZ_v6/mobilenet_v3_b4_float.tflite,model/MB_Path_Slice/layout_bridge/mobilenet_v3_b4_float_L118_L119_layout_bridge.tflite,ok,
layout_bridge,mobilenet_v3_float.tflite,118,119,AVERAGE_POOL_2D -> CONV_2D,"[1,16,16,960]","[1,1,1,1280]",mobilenet_v3_float_L118_L119_layout_bridge.tflite,POOL producer to compute consumer candidate,model/ETHZ_v6/mobilenet_v3_float.tflite,model/MB_Path_Slice/layout_bridge/mobilenet_v3_float_L118_L119_layout_bridge.tflite,ok,
layout_bridge,mobilevit_v2_float.tflite,1,2,PAD -> CONV_2D,"[1,384,384,3]","[1,192,192,48]",mobilevit_v2_float_L1_L2_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mobilevit_v2_float.tflite,model/MB_Path_Slice/layout_bridge/mobilevit_v2_float_L1_L2_layout_bridge.tflite,ok,
layout_bridge,mobilevit_v2_float.tflite,8,9,PAD -> DEPTHWISE_CONV_2D,"[1,192,192,96]","[1,192,192,96]",mobilevit_v2_float_L8_L9_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mobilevit_v2_float.tflite,model/MB_Path_Slice/layout_bridge/mobilevit_v2_float_L8_L9_layout_bridge.tflite,ok,
layout_bridge,mobilevit_v2_float.tflite,58,59,RESHAPE -> CONV_2D,"[1,2304,1,192]","[1,4,576,385]",mobilevit_v2_float_L58_L59_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mobilevit_v2_float.tflite,model/MB_Path_Slice/layout_bridge/mobilevit_v2_float_L58_L59_layout_bridge.tflite,ok,
layout_bridge,mv3_depth_float.tflite,127,128,CONCATENATION -> DEPTHWISE_CONV_2D,"[1,24,36,128]","[1,24,36,208]",mv3_depth_float_L127_L128_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mv3_depth_float.tflite,model/MB_Path_Slice/layout_bridge/mv3_depth_float_L127_L128_layout_bridge.tflite,ok,
layout_bridge,mv3_depth_float.tflite,9,10,PAD -> DEPTHWISE_CONV_2D,"[1,192,288,64]","[1,96,144,64]",mv3_depth_float_L9_L10_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/mv3_depth_float.tflite,model/MB_Path_Slice/layout_bridge/mv3_depth_float_L9_L10_layout_bridge.tflite,ok,
layout_bridge,pynet_v2_float.tflite,90,91,CONCATENATION -> CONV_2D,"[1,128,192,32]","[1,128,192,128]",pynet_v2_float_L90_L91_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/pynet_v2_float.tflite,model/MB_Path_Slice/layout_bridge/pynet_v2_float_L90_L91_layout_bridge.tflite,ok,
layout_bridge,pynet_v2_float.tflite,1,2,PAD -> CONV_2D,"[1,512,768,3]","[1,512,768,32]",pynet_v2_float_L1_L2_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/pynet_v2_float.tflite,model/MB_Path_Slice/layout_bridge/pynet_v2_float_L1_L2_layout_bridge.tflite,ok,
layout_bridge,pynet_v2_float.tflite,96,97,PAD -> DEPTHWISE_CONV_2D,"[1,128,192,128]","[1,128,192,128]",pynet_v2_float_L96_L97_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/pynet_v2_float.tflite,model/MB_Path_Slice/layout_bridge/pynet_v2_float_L96_L97_layout_bridge.tflite,ok,
layout_bridge,sam_float.tflite,53,54,RESHAPE -> FULLY_CONNECTED,"[100,49,4,32]","[4900,128]",sam_float_L53_L54_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/sam_float.tflite,model/MB_Path_Slice/layout_bridge/sam_float_L53_L54_layout_bridge.tflite,ok,
layout_bridge,sam_float.tflite,747,748,STRIDED_SLICE -> FULLY_CONNECTED,"[1,5,256]","[1,256]",sam_float_L747_L748_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/sam_float.tflite,model/MB_Path_Slice/layout_bridge/sam_float_L747_L748_layout_bridge.tflite,ok,
layout_bridge,sam_quant.tflite,1,2,PAD -> CONV_2D,"[1,512,512,3]","[1,256,256,32]",sam_quant_L1_L2_layout_bridge.tflite,layout producer directly feeds compute consumer candidate,model/ETHZ_v6/sam_quant.tflite,model/MB_Path_Slice/layout_bridge/sam_quant_L1_L2_layout_bridge.tflite,ok,
